Category,Message,Message Traduit
ham,Msg me when rajini comes.,Msg me rehefa tonga i rajini.
ham,Ya! when are ü taking ure practical lessons? I start in june..,Eny! rahoviana ianao no mandray lesona azo ampiharina? Manomboka amin'ny volana jona aho..
ham,"That's good, because I need drugs","Tsara izany, satria mila rongony aho"
ham,Stupid.its not possible,Adala.tsy azo atao
ham,Can ü all decide faster cos my sis going home liao..,Afaka manapa-kevitra haingana kokoa ve ny rehetra satria hody any an-trano ianao..
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,Tonga ihany ny fahavaratra! Te hiresaka amin'ny mpitovo sexy any amin'ny faritra misy anao ve ianao? Raha te hifampiraharaha dia valio fotsiny SUMMER izao. Free 2 Midira. Mifidy txt STOP Help08714742804
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,Matory ianao izao.. Sa ianao haka? Haha.. Nahazo mpitsikilo aho tamin'ny.. Nijery sy namaly mailaka aho tamin'ny Internet..
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,CLAIRE eto aho manana fotoana ary irery aho izao te hisotro mandritra ny 2 alina? Miresaha izao 09099725823 manantena 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.","Mora ny miady amin'izao tontolo izao, na mandresy ianao na resy bt miady amin'ny olona1 akaiky anao dia sarotra raha resy - resy ianao raha mandresy - mbola resy."
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,Nividy ringtone iray ary mahazo lahatsoratra mitentina 3 kilao manolotra tonony bebe kokoa sns
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D","Yalaru lifeu aston ankamantatra.. kapohy innu alohan'ny fiainana ali halla k b (fanambadiana) fandaharana edhe, ka ny fiainana mbola tsy tapitra ankamantatra..ali vargu lifeu miaw miaw:-d"
ham,Kinda. First one gets in at twelve! Aah. Speak tomo,Kinda. Ny voalohany dia miditra amin'ny roa ambin'ny folo! Aah. Mitenena tomo
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!","09066362231 MAIKA! Ny findainao No 07xxxxxxxxx dia nahazo loka 2,000 000 000 ariary tamin'ny 02/06/03! ity no andrana faha-2 hanatona ANAO! antsoy ny 09066362231 haingana!"
ham,Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...,Ok tsara dia avy eo aho dia ho avy hahita ü... C vintana aho nilaza tamin'i ü handeha aloha... Taty aoriana pple raiso vita ü tsy misy intsony...
ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.,Inona no mahatonga anao ho lavo aho. Fa raha ny tena izy dia heveriko fa tena mora mianjera aho. Sambatra ny raiko ao an-trano dia mangataka azy aho mba ho avy haka ahy sahady.
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+","IANAO 07801543489 dia azo antoka ny finday Nokia farany indrindra, mpilalao MP3 iPod 40GB na loka £500! Txt word:ANGONY ho No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,Nofenoina soa aman-tsara tamin'ny INR <DECIMAL> ny kaontinao. Rs <DECIMAL> ny fifandanjanao ao amin'ny kaontinao KeralaCircle. Ny ID ny Transaction dia KR <#> .
ham,I wont touch you with out your permission.,Tsy hikasika anao aho raha tsy nahazoana alalana.
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL,Salama ny vadiny LUCY ao amin'ny fivoriana isan'andro amin'ny Zoma & izaho irery no hisakafo ao amin'ny hotely. Azafady avelao ny msg 2 andro 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear","Zava-mahatalanjona 7 ao amin'ny TONTOLOKO faha-7 Anao faha-6 fomba Ur 5. Tsikitsiky Ur faha-4 Toetra maha-3 Ur Nature Faha-2 Ur SMS ary voalohany ""Ur Lovely Friendship""... tsara maraina malala"
ham,Take some small dose tablet for fever,Makà takelaka fatra kely ho an'ny tazo
ham,Oh. U must have taken your REAL Valentine out shopping first.,Oh. Tsy maintsy naka ny TENA Valentin-nao niantsena aloha ianao.
ham,"Just sent you an email – to an address with incomm in it, is that right?","Nandefa mailaka ho anao fotsiny - amin'ny adiresy misy incomm ao anatiny, marina ve izany?"
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early","Hanao ve ianao, ho any amin'ny blake's mandritra ny alina? Mety ho afaka miala eto aloha aho"
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e","Ny fisakaizana dia tsy kilalao, Tsy teny holazaina, Tsy manomboka amin'ny martsa ary mifarana amin'ny volana Mey, Rahampitso, omaly, anio ary e"
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!","Tsara. Andraso...tokony handefa SMS ve ianao izao? Tsy handoa ny tapakilanao aho, fantatrao!"
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,Mijery lotr amin'ny zanako vavy aho. Ka te hihaona amiko 4 amin'ny hariva ve ianao?
ham,Why you keeping me away like this,Nahoana ianao no manakana ahy toy izao
ham,I think its far more than that but find out. Check google maps for a place from your dorm.,Heveriko fa mihoatra lavitra noho izany izany fa fantaro. Jereo ny sari-tany google amin'ny toerana iray avy amin'ny efitranonao.
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,Tsara ny diako fa nandreraka be. Manomboka androany ny Uni fa tsy maninona aho satria tsy maka modules aho fa mifantoka amin'ny tetikasako farany taona.
ham,Have you always been saying welp?,Efa niteny welp foana ve ianao?
ham,"I'm a guy, browsin is compulsory","Lehilahy aho, tsy maintsy atao ny browsin"
ham,Ok...,Ok...
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,Ny fahadiovan'ny fisakaizana eo amin'ny roa dia tsy hoe mitsiky rehefa avy mamaky ilay hafatra alefa. Tena ilaina
ham,"Sorry, I'll call later",Miala tsiny fa hiantso aho rehefa avy eo
ham,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)","(Tokony ampiako fa tsy dia miraharaha loatra aho ary raha tsy azonao atao farafaharatsiny dia azoko atao ny manadala an'io bandy io fa hey, ny volanao raha tianao)"
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea","Salama malala! Ahoana izany asa vaovao izany? Eo ve ianao izao? Sambatra ve Anao? Mieritreritra ahy ve ianao? Mifoha aho, ry mpanompoko, ka manoroka anao avy eny ampitan'ny ranomasina"
ham,I told your number to gautham..,Nolazaiko tamin'i gautham ny nomerao..
ham,Tell them no need to investigate about me anywhere.,Lazao azy ireo fa tsy mila manadihady momba ahy na aiza na aiza.
ham,Ok i juz receive..,Ok fa azoko..
ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.","Tsy mino aho fa nilaza zavatra be dia be taminao aho tamin'ity maraina ity raha ny tena tiako holazaina dia tsara maraina, tiako ianao! Mirary maraina mahafinaritra. Any amin'ny tranomboky any aoriana any."
spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",Ny kaontinao dia nahazo alalana tamin'ny hafatra an-tsoratra 500 MAIMAIMPOANA. Raha te hampavitrika dia asio sms fotsiny ny teny hoe: CREDIT amin'ny No: 80488 T&Cs www.80488.biz
ham,In the end she might still vomit but its okay. Not everything will come out.,Mety mbola mandoa ihany izy amin'ny farany fa tsy maninona. Tsy hivoaka ny zava-drehetra.
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!,Manao ahoana ianao amin'ny vola...toy ny amin'ny anao ... tsy zavatra ny vola .... manao ahoana ianao sha!
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,Misy ifandraisany amin'ny toetrandro izany. Hafanana fanampiny. Mangatsiaka nefa tsy misy sérieux. Pls vitamina c
ham,Hey gals.. Anyone of u going down to e driving centre tmr?,Hey gals.. Misy aminareo midina eny amin'ny e driving centre tmr?
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,Ao amin'ny yahoo messenger foana aho izao. Alefaso amiko fotsiny ny hafatra dia ho azoko dia mety tsy maintsy alefanao amin'ny mode mobile sha fa azoko. Ary hamaly.
ham,I'm putting it on now. It should be ready for  &lt;TIME&gt;,Ataoko izao. Tokony ho vonona amin'ny <FOTOANA>
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon","Time n Smile no zava-dehibe roa eo amin'ny fiainantsika. Indraindray ny fotoana dia mahatonga antsika hanadino tsiky, ary indraindray ny fitsikian'ny olona iray dia manadino ny fotoana gud"
spam,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO","SMS. ac JSco: Ny angovo dia ambony, saingy mety tsy fantatrao hoe aiza no 2channel azy. 2andro mahery ny fahaiza-mitarika anao. Psychic? Valio ANS w/fanontaniana. Tapitra? Valio END JSCO"
ham,Host-based IDPS for linux systems.,IDPS mifototra amin'ny mpampiantrano ho an'ny rafitra linux.
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call","HOT LIVE FANTASIES antsoy izao 08707509020 20p isa-minitra fotsiny NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 dia antso nasionaly."
ham,Don no da:)whats you plan?,Don no da :) inona no kasainao?
ham,Ill be there on  &lt;#&gt;  ok.,Ho any aho amin'ny <#> ok.
ham,Oh my God. I'm almost home,Andriamanitra ô. Efa hody aho
ham,Total video converter free download type this in google search:),Ampidino maimaim-poana amin'ny fikarohana google ny Total Video Converter :)
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,Misaotra tamin'ny Vote. Mihira miaraka amin'ireo kintana miaraka amin'ny Karaoke amin'ny findainao. Raha mila rohy MAIMAIMPOANA dia valio fotsiny amin'ny SING izao.
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.","Raha tezitra aminao ianao, aza raisina ho zava-dehibe.. Satria ny fahatezerana no tena fomba fanehoana fitiavana lalina, fiahiana n fitiavana!.. kettoda manda... Mirary tontolo andro mahafinaritra."
ham,Sounds like something that someone testing me would sayy,Toa zavatra holazain'olona mitsapa ahy
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,Rehefa tia olona iray ianao dia aza ataony ho tia anao tahaka ny ataonao izy. Fa Tiavo izy ireo ka tsy te ho tian'iza na iza afa-tsy ianao... Gud nit.
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)","Pete, mbola ity ve ny findainao? Jenny avy any amin'ny oniversite sy Leanne. Inona no ataonao izao? :)"
ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,Oay azafady. Mba hanamarinana fotsiny fa tsy mampaninona anao ny maka ahy tomo amin'ny antsasa-valo amin'ny gara. Mety ve izany?
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*","Hey mamy, nanontany tena aho hoe oviana ianao no nanana fotoana raha afaka manatona ahy ianao? Te-handefa rakitra amin'olona aho fa tsy mandeha amin'ny yahoo ho azy ireo satria manjavozavo ny fifandraisan'izy ireo, tadidio fa rehefa nanangana an'io pejy io ianao mba handehanako sy hisintona ny format disc? Azonao atao ve ny milaza amiko ny fomba hanaovana izany? Sa fantatrao fomba hafa hisintonana rakitra lehibe? Satria afaka misintona zavatra mivantana avy amin'ny Internet izy ireo. Ny fanampiana rehetra dia mety tsara, remby ... * oroka maneso *"
ham,Hows the champ just leaving glasgow!,Ahoana no nandaozan'ny tompondaka an'i Glasgow!
ham,K:)all the best:)congrats...,K :) mirary soa :) arahabaina...
ham,I wonder if you'll get this text?,Manontany tena aho raha ho azonao ity lahatsoratra ity?
ham,I need to come home and give you some good lovin...,Mila hody aho hanome anao fitiavana tsara...
spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,Mivantana ankehitriny ny serivisy mozika finday vaovao. Ho tonga tsy ho ela ny mpilalao mozika maimaim-poana. Ampidiro fotsiny amin'ny findainao hijerena votoaty avy amin'ireo mpanakanto malaza.
ham,Shall i ask one thing if you dont mistake me.,Hanontany zavatra iray ve aho raha tsy diso aho.
ham,Check wid corect speling i.e. Sarcasm,Hamarino sy ahitsio ny tsipelina i.s. esoeso
spam,"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate","MAIKA! Nahazo loka 2,000 £ Bonus Caller ny No findainao tamin'ny 1/08/03! Ity no andrana fanindroanay hifandray ANAO! Antsoy ny 0871-4719-523 BOX95QU BT National Rate"
ham,Are you angry with me. What happen dear,Tezitra amiko ve ianao. Inona no mitranga ry malala
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,I thk u don'n 2 conseil in e forum efa lor... Cos I ron n darren is going 2 tell shuhui.
ham,Yup ok thanx...,Eny ok misaotra...
ham,Hi:)cts employee how are you?,Salama :) mpiasan'ny cts manao ahoana ianao?
ham,Pls pls find out from aunt nike.,Pls fantaro avy amin'i nenitoa nike.
ham,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you","Wow ... tiako loatra ianao, fantatrao? zara raha zakako ! Manontany tena aho hoe manao ahoana ny andronao ary salama tsara ianao ry malalako ... mieritreritra anao aho ary malahelo anao"
ham,No screaming means shouting..,Tsy misy mikiakiaka midika hoe mikiakiaka..
ham,Hey what happen de. Are you alright.,Inona no mitranga de. Tsy maninona ve ianao.
ham,Should I have picked up a receipt or something earlier,Tokony naka tapakila na zavatra taloha ve aho
ham,I think chennai well settled?,Heveriko fa nilamina tsara i chennai?
ham,Oh dang! I didn't mean o send that to you! Lol!,Oh dang! Tsy nikasa ny handefa izany aminao aho! Tpt!
ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,Indrisy anefa fa vao fantatro fa tsy maintsy maka ny anabaviko avy eny amin'ny seranam-piaramanidina izahay ny harivan'iny ka aza mieritreritra fa hivoaka mihitsy aho. Tokony hiezaka hivoaka ny iray amin'ireo isika
ham,Horrible bf... I now v hungry...,bf mahatsiravina... izao v noana...
ham,Remember on that day..,Tsarovy tamin'io andro io..
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,Nahazo Nokia 7250i ianao. Izany no azonao rehefa mahazo lavanty MAIMAIMPOANA ianao. Raha te handray anjara dia alefaso any amin'ny 86021 izao ny Nokia. HG/Suite342/2Lands Row/W1JHL 16+
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,Ahoana ny fihetseham-pony? Andriamatoa tsy tena Valentin-ko fa ny Valentin-ko na dia zara raha milalao aza ianao!!
ham,All sounds good. Fingers . Makes it difficult to type,Toa tsara daholo. rantsantanana . Manasarotra ny mitendry
ham,Midnight at the earliest,Ny mamatonalina aloha indrindra
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,Tsy azonao antoka fa tsy manandrana mifoka sigara aho satria tsy te hifoka rehefa avy nilazana fa mifoka sigara be aho?
ham,K come to nordstrom when you're done,K tongava any Nordstrom rehefa vita ianao
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,Fantatrao ve fa ny FIANAKAVIANA no omeko anao ohatra: Izao no msg izao. .
ham,Now press conference da:),Izao no fihaonambe amin'ny mpanao gazety :)
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow","Salama avy any Orange. Ho an'ny fidirana maimaim-poana mandritra ny 1 volana amin'ny lalao, vaovao ary fanatanjahantena, miampy hafatra 10 maimaim-poana sy hafatra an-tsary 20, valio ENY. Mihatra ny fepetra: www.orange.co.uk/ow"
ham,After completed degree. There is no use in joining finance.,Rehefa vita ny diplaoma. Tsy ilaina ny miditra amin'ny fitantanam-bola.
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?","Salama tompoko o! Misy mety ho asa? Malahelo ahy ve ianao? Inona no ataonao ? Moa ve ianao kamo sy manjavozavo, hmmm ? Sa faly sy feno fitiavako ?"
ham,Shant disturb u anymore... Jia you...,Tsy manelingelina anao intsony ... Jia ianao ...
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,Bishan lar akaiky kokoa ... Tsy mila mividy aloha loatra fa raha mividy izao dia tsy maintsy mametraka ny fiarako aho ...
ham,"Me, i dont know again oh","Izaho, tsy haiko indray oh"
ham,Dude sux for snake. He got old and raiden got buff,Dude sux ho an'ny bibilava. Nihantitra izy ary nahazo buff i raiden
ham,He says hi and to get your ass back to south tampa (preferably at a kegger),Hoy izy hoe miarahaba ary hamerina ny borikinao any atsimo tampa (tsara kokoa amin'ny kegger)
ham,In e msg jus now. U said thanks for gift.,In e msg jus izao. Hoy ianao misaotra tamin'ny fanomezana.
ham,U too...,Ianao koa...
ham,Ok how you dear. Did you call chechi,Ok ahoana ry malala. Niantso chechi ve ianao
ham,Yeah we do totes. When u wanna?,"Eny, manao totes izahay. Rahoviana ianao no tianao?"
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,"Ok, hitako ny dis pierre cardin iray izay toa mahazatra ny vidiny 20 amidy."
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),Ny torimaso tsara dia momba ny gadona. Ny olona dia tsy maintsy mametraka gadona izay hianaran'ny vatana sy hampiasaina. Raha te hahalala bebe kokoa ianao :-)
ham,Wat r u doing?,Manao inona ianao?
ham,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,Hafatra avy amin'i . Ao amin'ny Hopitaly Truro aho amin'ny ext. Afaka miantso ahy eto ianao. satria manana telefaona eo anilako aho
ham,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...","Andalana tokana misy dikany lehibe::::: ""Miss anything 4 ur ""Best Life"" fa, aza adino ny fiainana tsara indrindra ho an'ny zavatra rehetra... Gud nyt..."
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?","Vao avy nahazo vola gasy, mety ho tianao ve ianao sy ny andian-jiolahy hanao fitsangatsanganana voajanahary?"
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,Aza manahy...mampiasà tapa-dranomandry ao anaty fonosan-damba.maka tablety 2 ihany koa.
ham,Dude just saw a parked car with its sunroof popped up. Sux,Vao avy nahita fiara nijanona nipoitra ny tafon-masoandrony. Sux
ham,Get ready to put on your excellent sub face :),Miomàna hametraka ny sub face mahafinaritra anao :)
ham,Tmrw. Im finishing 9 doors,Tmrw. Mamarana varavarana 9 aho
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",Ny <#> g izay hitako andro vitsy lasa izay dia te-hivarotra wifi amin'ny <#> ilay bandy ary amin'ny 3g amin'ny <#> . Izany no nahatonga ahy nanala baraka azy.
ham,I am late. I will be there at,Tara aho. Ho any aho amin'ny
ham,"whatever, im pretty pissed off.","na inona na inona, tena tezitra aho."
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,Androany dia ANDRO EKENA..Ekenao aho ho? Rahalahy Anabavy Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Malala malala Namana akaiky Tsy misy rply midika hoe fahavalo
ham,I dont have that much image in class.,Tsy manana sary betsaka toy izany aho ao an-dakilasy.
ham,No:-)i got rumour that you going to buy apartment in chennai:-),Tsia:-)Nahazo tsaho aho fa hividy trano any chennai ianao:-)
ham,Near kalainar tv office.thenampet,Akaikin'ny biraon'ny fahitalavitra Kalainar.thenampet
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,500 kilao amin'izao fotoana izao ny fandaniam-bolan'ny vola-nao - mba hampitomboana ny vola miditra amin'izao fotoana izao dia alefaso any amin'ny 86688 150p/msg ihany. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,LALANA SMS - Nokia 7250 VAOVAO no manao lavanty 4 androany! MAIMAIMPOANA ny lavanty raha 2 ny fandraisana anjara sy ny fandraisana anjara! Txt NOKIA amin'ny 86021 izao! HG/Suite342/2Lands Row/W1J6HL
ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,Ny anabaviko dia maka fampisehoana amin'ny tolakandro ka tsy mijery azy aho. Ka c u wan 2 mijery anio na tmr lor.
ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...","Toa gd... Haha... Afaka... Wah, u yan jiu so fast liao..."
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,Tsia. Mba ho nosy aho. Idk fa be reactement ve aho raha matahotra?
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.","Tsarovy ireo rehetra izay nandratra ahy nandritra ny andro nanjakan'i satana tao anatiko.Mila mandoa vidiny, ka izany no izy.Enga anie ny lahatra hanohy ny lalako ary araka ny nolazainao dia mivavaha mba hahazoako ny saina hihoatra izany."
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,Ahoana no hahatonga ny ankizivavy iray ho sambatra? Tsy sarotra mihitsy ny mampifaly ny ankizivavy. Mila ho... 1. Namana 2. Namana 3. Mpifankatia 4. Chef . . .  <#> . Mihaino tsara <#> . Mpandrindra <#> . Sipa tsara <#> . Tena madio <#> . Mangoraka <#> . atletika <#> . Mafana . . .  <#> . Be herim-po <#> . Tapa-kevitra <#> . Marina <#> . Azo ianteherana <#> . Intelligent . . .  <#> . psikology <#> . Mpamono bibikely <#> . Psikiatria <#> . Mpanasitrana . .  <#> . Stylist <#> . Driver . . Faly miarahaba anao..
ham,"Why is that, princess? I bet the brothas are all chasing you!","Nahoana izany, ry andriambavy? Mino aho fa manenjika anao daholo ny brothas!"
ham,"I shall book chez jules for half eight, if that's ok with you?","Hamandrika chez jules aho amin'ny antsasaky ny valo, raha mety aminao izany?"
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something,Hahahahhahahah rofl wtf lehibe i leonardo tao amin'ny efitranonao na zavatra hafa
ham,"Yep, at derek's house now, see you Sunday &lt;3","Eny, ao an-tranon'i derek izao, mahita anao alahady <3"
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day","Mahafinaritra, ampahafantaro ahy alohan'ny hanombohan'ny <#> , hivoaka aho mandritra ny tontolo andro"
ham,"Sorry, I'll call later",Miala tsiny fa hiantso aho rehefa avy eo
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,Nanontany tena aho raha mety aminao ve ny miantso an'i dadatoa john ary ampahafantaro azy fa tsy mitovy ny zava-misy any nizeria amin'ny eto. Ny <#> dolara dia 2 taona nalefa ary fantatrao fa sarotra izany fa mikasa ny hamerina ny vola rehetra omeny aho. Ny ariary rehetra ka ho ahy ny manantena na inona na inona aminao dia tsy azo ampiharina. Zavatra toy izany.
ham,There are no other charges after transfer charges and you can withdraw anyhow you like,Tsy misy fiampangana hafa aorian'ny fiampangana famindrana ary azonao atao ny miala amin'izay tianao
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL","Dont search love, let love find U. Thats why its called falling in love, bcoz I dont force yourself, U just lavo dia fantatrao fa misy olona mitazona A... BALL"
ham,At 4. Let's go to bill millers,Amin'ny 4. Andeha isika hankany amin'ny mpamboly faktiora
ham,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,tiako ianao. Nandoro ny fanahiko Hianao. Tsy pitik'afo fotsiny izany. Fa lelafo izany. Lelafo lehibe iray. XoXo
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)","Azo antoka fa misy olona natao 4 u. Ary Andriamanitra dia nanapa-kevitra ny fotoana tonga lafatra mba hihaonanao amin'izany olona izany. . . . hatramin'ny den,. . . . . Ankafizo ny fitiavanao..!!! ;-)"
ham,That's my honeymoon outfit. :),Izany no akanjoko honeymoon. :)
ham,Will it help if we propose going back again tomorrow,Hanampy ve izany raha manolotra ny fiverenana indray rahampitso
